"PERSON";"REG_ADDR_KOATUU";"OPER_CODE";"OPER_NAME";"D_REG";"DEP_CODE";"DEP";"BRAND";"MODEL";"VIN";"MAKE_YEAR";"COLOR";"KIND";"BODY";"PURPOSE";"FUEL";"CAPACITY";"OWN_WEIGHT";"TOTAL_WEIGHT";"N_REG_NEW"
"P";"1225284101";"308";"ПЕРЕРЕЄСТРАЦІЯ НА НОВОГО ВЛАСНИКА ЗА ДОГ. КУПIВЛI-ПРОДАЖУ (СГ)";21.12.2022;12537;"ТСЦ 1248";"KIA";"SOUL";"KNAJT811AC7443261";2012;"КОРИЧНЕВИЙ";"ЛЕГКОВИЙ";"УНІВЕРСАЛ";"ЗАГАЛЬНИЙ";"БЕНЗИН АБО ГАЗ";1591;1217;1690;"АЕ7265ХА"
"P";"3220880905";"254";"НАЛЕЖНИЙ КОРИСТУВАЧ. РЕЄСТРАЦІЯ";07.09.2022;10000;"OLD_ДДАІ МВС УКРАЇНИ";"NISSAN";"QASHQAI";"SJNFBNJ10U2471634";2012;"БІЛИЙ";"ЛЕГКОВИЙ";"ХЕТЧБЕК";"ЗАГАЛЬНИЙ";"БЕНЗИН АБО ГАЗ";1997;1310;1960;"АІ1954ЕМ"
"P";"5610700000";"315";"ПЕРЕРЕЄСТРАЦІЯ ТЗ НА НОВ. ВЛАСН. ПО ДОГОВОРУ УКЛАДЕНОМУ В ТСЦ";09.12.2022;12286;"ТСЦ 3247";"VOLKSWAGEN";"GOLF";"WVWZZZ1KZCW268678";2012;"БІЛИЙ";"ЛЕГКОВИЙ";"ХЕТЧБЕК";"ЗАГАЛЬНИЙ";"БЕНЗИН";1390;1020;1850;"АІ2805ОН"
"P";"8036600000";"315";"ПЕРЕРЕЄСТРАЦІЯ ТЗ НА НОВ. ВЛАСН. ПО ДОГОВОРУ УКЛАДЕНОМУ В ТСЦ";02.07.2022;12294;"ТСЦ 8045";"RENAULT";"FLUENCE";"VF1LZBB0647079727";2012;"СІРИЙ";"ЛЕГКОВИЙ";"СЕДАН";"ЗАГАЛЬНИЙ";"ДИЗЕЛЬНЕ ПАЛИВО";1461;1280;1680;"КА1560ІЕ"
"P";"5610100000";"410";"ПЕРЕРЕЄСТРАЦІЯ ПРИ ЗАМІНІ НОМЕРНОГО ЗНАКУ";13.09.2022;12337;"ТСЦ 5641";"NISSAN";"TIIDA";"3N1FCAC11UK561776";2012;"ЧОРНИЙ";"ЛЕГКОВИЙ";"ХЕТЧБЕК";"ЗАГАЛЬНИЙ";"БЕНЗИН";1598;1268;1715;"ВК2037ІВ"
"P";"6823987705";"315";"ПЕРЕРЕЄСТРАЦІЯ ТЗ НА НОВ. ВЛАСН. ПО ДОГОВОРУ УКЛАДЕНОМУ В ТСЦ";02.09.2022;12375;"ТСЦ 6845";"ВАЗ";"2107";"XTA21070062333807";2006;"ЧЕРВОНИЙ";"ЛЕГКОВИЙ";"СЕДАН";"ЗАГАЛЬНИЙ";"БЕНЗИН АБО ГАЗ";1451;1110;1460;"ВХ4979НІ"
"P";"8036400000";"315";"ПЕРЕРЕЄСТРАЦІЯ ТЗ НА НОВ. ВЛАСН. ПО ДОГОВОРУ УКЛАДЕНОМУ В ТСЦ";19.01.2022;13960;"ТСЦ 8048";"TOYOTA";"LAND CRUISER PRADO 150";"JTEBX3FJ20K086739";2012;"ЧОРНИЙ";"ЛЕГКОВИЙ";"УНІВЕРСАЛ";"ЗАГАЛЬНИЙ";"БЕНЗИН АБО ГАЗ";2694;2020;2600;"КА0991НА"
"P";"5123755300";"315";"ПЕРЕРЕЄСТРАЦІЯ ТЗ НА НОВ. ВЛАСН. ПО ДОГОВОРУ УКЛАДЕНОМУ В ТСЦ";08.11.2022;12322;"ТСЦ 5142";"HONDA";"CIVIC";"NLAFB8660CW002716";2012;"БІЛИЙ";"ЛЕГКОВИЙ";"СЕДАН";"ЗАГАЛЬНИЙ";"БЕНЗИН";1798;920;1700;"ВН3587РТ"
"P";"1211000000";"315";"ПЕРЕРЕЄСТРАЦІЯ ТЗ НА НОВ. ВЛАСН. ПО ДОГОВОРУ УКЛАДЕНОМУ В ТСЦ";10.07.2022;12295;"ТСЦ 8046";"MITSUBISHI";"LANCER";"JMBSTCY4ABU000242";2011;"СІРИЙ";"ЛЕГКОВИЙ";"СЕДАН";"ЗАГАЛЬНИЙ";"БЕНЗИН АБО ГАЗ";1998;1335;1850;"КА7050НІ"
"P";"1414100000";"440";"ПЕРЕРЕЄСТРАЦIЯ ПРИ ВТРАТІ СВIДОЦТВА ПРО РЕЄСТРАЦIЮ";14.04.2022;12294;"ТСЦ 8045";"KIA";"CERATO";"KNAFW411BC5611891";2012;"БІЛИЙ";"ЛЕГКОВИЙ";"СЕДАН";"ЗАГАЛЬНИЙ";"БЕНЗИН АБО ГАЗ";1591;1271;1680;"АН5608КІ"
"P";"0524355300";"308";"ПЕРЕРЕЄСТРАЦІЯ НА НОВОГО ВЛАСНИКА ЗА ДОГ. КУПIВЛI-ПРОДАЖУ (СГ)";23.12.2022;12232;"ТСЦ 0544";"PEUGEOT";"EXPERT";"VF3BYRHZB86227283";2005;"СІРИЙ";"ЛЕГКОВИЙ";"ПАСАЖИРСЬКИЙ";"ЗАГАЛЬНИЙ";"ДИЗЕЛЬНЕ ПАЛИВО";1997;1480;2330;"АВ4728ІХ"
"P";"3220610100";"308";"ПЕРЕРЕЄСТРАЦІЯ НА НОВОГО ВЛАСНИКА ЗА ДОГ. КУПIВЛI-ПРОДАЖУ (СГ)";15.09.2022;12296;"ТСЦ 8047";"INFINITI";"QX56";"JN1JANZ62U0002614";2011;"ЧОРНИЙ";"ЛЕГКОВИЙ";"УНІВЕРСАЛ";"ЗАГАЛЬНИЙ";"БЕНЗИН";5552;2800;3400;"КА9883НО"
"P";"0510400000";"308";"ПЕРЕРЕЄСТРАЦІЯ НА НОВОГО ВЛАСНИКА ЗА ДОГ. КУПIВЛI-ПРОДАЖУ (СГ)";13.08.2022;12231;"ТСЦ 0543";"HONDA";"PILOT";"5KBYF4890CB401547";2012;"БІЛИЙ";"ЛЕГКОВИЙ";"УНІВЕРСАЛ";"ЗАГАЛЬНИЙ";"БЕНЗИН АБО ГАЗ";3471;2119;2765;"АВ0089ЕІ"
"P";"8038000000";"254";"НАЛЕЖНИЙ КОРИСТУВАЧ. РЕЄСТРАЦІЯ";02.09.2022;10000;"OLD_ДДАІ МВС УКРАЇНИ";"CITROEN";"C4";"VF7NC5FS9CY546795";2012;"ЧЕРВОНИЙ";"ЛЕГКОВИЙ";"ХЕТЧБЕК";"ЗАГАЛЬНИЙ";"БЕНЗИН";1598;1270;1755;"КА0704СВ"
"P";"2610300000";"308";"ПЕРЕРЕЄСТРАЦІЯ НА НОВОГО ВЛАСНИКА ЗА ДОГ. КУПIВЛI-ПРОДАЖУ (СГ)";07.07.2022;12276;"ТСЦ 2641";"RENAULT";"TRAFIC";"VF1FLAHA68Y239128";2007;"БІЛИЙ";"ЛЕГКОВИЙ";"ПАСАЖИРСЬКИЙ";"ЗАГАЛЬНИЙ";"ДИЗЕЛЬНЕ ПАЛИВО";1995;1783;2770;"АТ1294НК"
"P";"6325155800";"315";"ПЕРЕРЕЄСТРАЦІЯ ТЗ НА НОВ. ВЛАСН. ПО ДОГОВОРУ УКЛАДЕНОМУ В ТСЦ";17.02.2022;13653;"ТСЦ 6350";"DACIA";"LOGAN";"UU1LSDAGH39398430";2008;"СІРИЙ";"ЛЕГКОВИЙ";"СЕДАН";"ЗАГАЛЬНИЙ";"БЕНЗИН АБО ГАЗ";1390;1085;1535;"АХ8613МА"
"P";"4610136900";"308";"ПЕРЕРЕЄСТРАЦІЯ НА НОВОГО ВЛАСНИКА ЗА ДОГ. КУПIВЛI-ПРОДАЖУ (СГ)";31.12.2022;12307;"ТСЦ  4641";"FORD";"FOCUS";"WF0LXXGCBLCG78636";2012;"ЧОРНИЙ";"ЛЕГКОВИЙ";"УНІВЕРСАЛ";"ЗАГАЛЬНИЙ";"БЕНЗИН АБО ГАЗ";1596;1520;1825;"ВС8697РН"
"P";"6810100000";"315";"ПЕРЕРЕЄСТРАЦІЯ ТЗ НА НОВ. ВЛАСН. ПО ДОГОВОРУ УКЛАДЕНОМУ В ТСЦ";10.08.2022;12371;"ТСЦ 6841";"TOYOTA";"PRADO";"JTEBU25J175080377";2006;"ЧОРНИЙ";"ЛЕГКОВИЙ";"УНІВЕРСАЛ";"ЗАГАЛЬНИЙ";"БЕНЗИН АБО ГАЗ";3956;2090;2700;"ВХ7271НН"
"J";"6810100000";"254";"НАЛЕЖНИЙ КОРИСТУВАЧ. РЕЄСТРАЦІЯ";25.11.2022;12371;"ТСЦ 6841";"CHEVROLET";"NIVA";"X9L212300B0362893";2011;"СІРИЙ";"ЛЕГКОВИЙ";"УНІВЕРСАЛ";"ЗАГАЛЬНИЙ";"БЕНЗИН";1690;1380;1860;"ВХ8893СХ"
"P";"0521610100";"315";"ПЕРЕРЕЄСТРАЦІЯ ТЗ НА НОВ. ВЛАСН. ПО ДОГОВОРУ УКЛАДЕНОМУ В ТСЦ";23.02.2022;12233;"ТСЦ 0545";"NISSAN";"PRIMASTAR";"VSKF4ABA5UY556905";2004;"БІЛИЙ";"ЛЕГКОВИЙ";"ПАСАЖИРСЬКИЙ";"ЗАГАЛЬНИЙ";"ДИЗЕЛЬНЕ ПАЛИВО";1870;1675;2700;"АВ2565ІМ"
"P";"7124610100";"308";"ПЕРЕРЕЄСТРАЦІЯ НА НОВОГО ВЛАСНИКА ЗА ДОГ. КУПIВЛI-ПРОДАЖУ (СГ)";26.11.2022;12295;"ТСЦ 8046";"MERCEDES-BENZ";"S 450";"WDD2211841A233000";2008;"ЧОРНИЙ";"ЛЕГКОВИЙ";"СЕДАН";"ЗАГАЛЬНИЙ";"ДИЗЕЛЬНЕ ПАЛИВО";2987;1920;2640;"КА1241КН"
"P";"1810100000";"308";"ПЕРЕРЕЄСТРАЦІЯ НА НОВОГО ВЛАСНИКА ЗА ДОГ. КУПIВЛI-ПРОДАЖУ (СГ)";19.05.2022;12254;"ТСЦ 1841";"VOLKSWAGEN";"MULTIVAN";"WV2ZZZ7HZBH014976";2010;"ЧОРНИЙ";"ЛЕГКОВИЙ";"ПАСАЖИРСЬКИЙ";"ЗАГАЛЬНИЙ";"ДИЗЕЛЬНЕ ПАЛИВО";1968;2530;3080;"АМ5539НС"
"P";"1211300000";"308";"ПЕРЕРЕЄСТРАЦІЯ НА НОВОГО ВЛАСНИКА ЗА ДОГ. КУПIВЛI-ПРОДАЖУ (СГ)";20.09.2022;12244;"ТСЦ 1245";"MERCEDES-BENZ";"108CDI";"VSA63809413249826";1999;"БІЛИЙ";"ВАНТАЖНИЙ";"ФУРГОН";"СПЕЦІАЛІЗОВАНИЙ";"ДИЗЕЛЬНЕ ПАЛИВО";2148;1610;2700;"АЕ6052ТС"
"P";"6510700000";"412";"ПЕРЕРЕЄСТРАЦІЯ ТЗ ПРИ ВИДАЧІ НОМЕРНОГО ЗНАКУ ВІДПОВІДНОЇ КОМБІНАЦІЇ ЦИФР";24.06.2022;12241;"ТСЦ 1242";"SUBARU";"LEGACY";"JF1BM9LV3BG023491";2011;"БІЛИЙ";"ЛЕГКОВИЙ";"СЕДАН";"ЗАГАЛЬНИЙ";"БЕНЗИН";2457;1562;2070;"АЕ0101ЕА"
"P";"3222486201";"315";"ПЕРЕРЕЄСТРАЦІЯ ТЗ НА НОВ. ВЛАСН. ПО ДОГОВОРУ УКЛАДЕНОМУ В ТСЦ";01.11.2022;12285;"ТСЦ 3246";"RENAULT";"TRAFIC";"VF1FLBCB64Y046058";2004;"СИНІЙ";"ЛЕГКОВИЙ";"ПАСАЖИРСЬКИЙ";"ЗАГАЛЬНИЙ";"ДИЗЕЛЬНЕ ПАЛИВО";1870;1800;2940;"АІ6629ОТ"
"P";"7123186001";"308";"ПЕРЕРЕЄСТРАЦІЯ НА НОВОГО ВЛАСНИКА ЗА ДОГ. КУПIВЛI-ПРОДАЖУ (СГ)";15.06.2022;13960;"ТСЦ 8048";"KIA";"PICANTO";"KNABX512BCT208739";2011;"СИНІЙ";"ЛЕГКОВИЙ";"ХЕТЧБЕК";"ЗАГАЛЬНИЙ";"БЕНЗИН";1248;940;1330;"КА5733НВ"
"P";"6810100000";"315";"ПЕРЕРЕЄСТРАЦІЯ ТЗ НА НОВ. ВЛАСН. ПО ДОГОВОРУ УКЛАДЕНОМУ В ТСЦ";14.12.2022;12371;"ТСЦ 6841";"OPEL";"VIVARO";"W0LF7ABA54V616099";2004;"БІЛИЙ";"ЛЕГКОВИЙ";"ПАСАЖИРСЬКИЙ";"ЗАГАЛЬНИЙ";"ДИЗЕЛЬНЕ ПАЛИВО";1870;1780;2700;"ВХ3298НВ"
"P";"5920389203";"308";"ПЕРЕРЕЄСТРАЦІЯ НА НОВОГО ВЛАСНИКА ЗА ДОГ. КУПIВЛI-ПРОДАЖУ (СГ)";22.01.2022;12344;"ТСЦ 5943";"PEUGEOT";"PARTNER";"VF3GCRHYB96099002";2004;"БІЛИЙ";"ЛЕГКОВИЙ";"ПАСАЖИРСЬКИЙ";"ЗАГАЛЬНИЙ";"ДИЗЕЛЬНЕ ПАЛИВО";1997;1211;1990;"ВМ2384СХ"
"P";"5310100000";"315";"ПЕРЕРЕЄСТРАЦІЯ ТЗ НА НОВ. ВЛАСН. ПО ДОГОВОРУ УКЛАДЕНОМУ В ТСЦ";15.12.2022;12335;"ТСЦ 5346";"CHERY";"M11";"LVVDC11B5BD357982";2011;"СІРИЙ";"ЛЕГКОВИЙ";"СЕДАН";"ЗАГАЛЬНИЙ";"БЕНЗИН";1597;1470;1845;"ВІ5273НР"
"P";"8038900000";"315";"ПЕРЕРЕЄСТРАЦІЯ ТЗ НА НОВ. ВЛАСН. ПО ДОГОВОРУ УКЛАДЕНОМУ В ТСЦ";12.02.2022;12290;"ТСЦ 8041";"NISSAN";"PATHFINDER";"VSKJVWR51U0446788";2011;"ЧОРНИЙ";"ЛЕГКОВИЙ";"УНІВЕРСАЛ";"ЗАГАЛЬНИЙ";"ДИЗЕЛЬНЕ ПАЛИВО";2488;2225;2880;"КА2713НХ"
"P";"8000000000";"254";"НАЛЕЖНИЙ КОРИСТУВАЧ. РЕЄСТРАЦІЯ";02.09.2022;10000;"OLD_ДДАІ МВС УКРАЇНИ";"TOYOTA";"NIVA";"JTMBE31V40D086735";2012;"БІЛИЙ";"ЛЕГКОВИЙ";"УНІВЕРСАЛ";"ЗАГАЛЬНИЙ";"БЕНЗИН";1987;1500;2110;"АА5321РВ"
"P";"2625610100";"315";"ПЕРЕРЕЄСТРАЦІЯ ТЗ НА НОВ. ВЛАСН. ПО ДОГОВОРУ УКЛАДЕНОМУ В ТСЦ";14.12.2022;12307;"ТСЦ  4641";"FORD";"FIESTA";"WF0JXXGAJJCB22742";2012;"ЧЕРВОНИЙ";"ЛЕГКОВИЙ";"ХЕТЧБЕК";"ЗАГАЛЬНИЙ";"БЕНЗИН";1388;1041;1530;"ВС7729РІ"
"P";"8038600000";"315";"ПЕРЕРЕЄСТРАЦІЯ ТЗ НА НОВ. ВЛАСН. ПО ДОГОВОРУ УКЛАДЕНОМУ В ТСЦ";15.06.2022;13960;"ТСЦ 8048";"CITROEN";"C1";"VF7PNCFB089635362";2012;"СИНІЙ";"ЛЕГКОВИЙ";"ХЕТЧБЕК";"ЗАГАЛЬНИЙ";"БЕНЗИН";998;835;1190;"КА5771НВ"
"P";"6510165800";"254";"НАЛЕЖНИЙ КОРИСТУВАЧ. РЕЄСТРАЦІЯ";26.12.2022;10000;"OLD_ДДАІ МВС УКРАЇНИ";"MITSUBISHI";"LANCER";"JMBSTCY4A8U007625";2008;"СІРИЙ";"ЛЕГКОВИЙ";"СЕДАН";"ЗАГАЛЬНИЙ";"БЕНЗИН АБО ГАЗ";1998;1351;1850;"ВТ1765ВО"
"P";"3210600000";"400";"ПЕРЕРЕЄСТРАЦIЯ ПРИ ПЕРЕОБЛАДНАННI ДЛЯ РОБОТИ НА ГАЗОВОМУ ПАЛЬНОМУ";20.01.2022;12282;"ТСЦ 3243";"SKODA";"FABIA";"TMBEC45J7CB503989";2012;"СІРИЙ";"ЛЕГКОВИЙ";"ХЕТЧБЕК";"ЗАГАЛЬНИЙ";"БЕНЗИН АБО ГАЗ";1390;1095;1559;"АІ9442КР"
"P";"3222410600";"315";"ПЕРЕРЕЄСТРАЦІЯ ТЗ НА НОВ. ВЛАСН. ПО ДОГОВОРУ УКЛАДЕНОМУ В ТСЦ";05.02.2022;12296;"ТСЦ 8047";"CITROEN";"C4";"VF7NC5FS9CY507932";2012;"ЧОРНИЙ";"ЛЕГКОВИЙ";"ХЕТЧБЕК";"ЗАГАЛЬНИЙ";"БЕНЗИН";1598;1270;1755;"КА3161НТ"
"P";"6810100000";"230";"ВИДАЧА СВ. ПРО РЕЄСТР ДЛЯ ПОЇЗДКИ ЗА КОРДОН";14.04.2022;12313;"ТСЦ 4647";"CODER";"RE 219D";"VGXRE219DX3SP0040";2001;"СІРИЙ";"ПРИЧІП";"ПР-ПЛАТФОРМА";"СПЕЦІАЛІЗОВАНИЙ";"";;5100;18000;"ВХ6876ХТ"
"P";"1412336300";"315";"ПЕРЕРЕЄСТРАЦІЯ ТЗ НА НОВ. ВЛАСН. ПО ДОГОВОРУ УКЛАДЕНОМУ В ТСЦ";14.10.2022;12293;"ТСЦ 8044";"HYUNDAI";"GENESIS COUPE";"KMHHT61DBCU080055";2012;"СІРИЙ";"ЛЕГКОВИЙ";"КУПЕ";"ЗАГАЛЬНИЙ";"БЕНЗИН";1998;1526;1950;"КА7180ІР"
"P";"6810100000";"230";"ВИДАЧА СВ. ПРО РЕЄСТР ДЛЯ ПОЇЗДКИ ЗА КОРДОН";14.04.2022;12313;"ТСЦ 4647";"VOLVO";"FH 12.420";"YV2A4CFC03B346804";2003;"СИНІЙ";"ВАНТАЖНИЙ";"ПЛАТФОРМА";"СПЕЦІАЛІЗОВАНИЙ";"ДИЗЕЛЬНЕ ПАЛИВО";12100;12000;25500;"ВХ7510ВН"
"P";"4610900000";"315";"ПЕРЕРЕЄСТРАЦІЯ ТЗ НА НОВ. ВЛАСН. ПО ДОГОВОРУ УКЛАДЕНОМУ В ТСЦ";14.07.2022;12310;"ТСЦ 4644";"MERCEDES-BENZ";"S 430";"WDB2201701A405937";2003;"СІРИЙ";"ЛЕГКОВИЙ";"СЕДАН";"ЗАГАЛЬНИЙ";"БЕНЗИН АБО ГАЗ";4266;1720;2150;"ВС6080ОМ"
"P";"8036600000";"410";"ПЕРЕРЕЄСТРАЦІЯ ПРИ ЗАМІНІ НОМЕРНОГО ЗНАКУ";20.08.2022;12295;"ТСЦ 8046";"LAND ROVER";"RANGE ROVER";"SALLSAAF4CA719513";2011;"ЧОРНИЙ";"ЛЕГКОВИЙ";"УНІВЕРСАЛ";"ЗАГАЛЬНИЙ";"ДИЗЕЛЬНЕ ПАЛИВО";2993;2701;3175;"КА2166ІС"
"P";"8036400000";"315";"ПЕРЕРЕЄСТРАЦІЯ ТЗ НА НОВ. ВЛАСН. ПО ДОГОВОРУ УКЛАДЕНОМУ В ТСЦ";03.08.2022;12294;"ТСЦ 8045";"БОГДАН";"211010";"Y6L211010CL234919";2012;"СІРИЙ";"ЛЕГКОВИЙ";"СЕДАН";"ЗАГАЛЬНИЙ";"БЕНЗИН АБО ГАЗ";1596;1060;1495;"КА5576ІН"
"P";"2110100000";"315";"ПЕРЕРЕЄСТРАЦІЯ ТЗ НА НОВ. ВЛАСН. ПО ДОГОВОРУ УКЛАДЕНОМУ В ТСЦ";21.10.2022;12261;"ТСЦ 2141";"KIA";"CERATO";"Y6LFE22727L006033";2007;"СИНІЙ";"ЛЕГКОВИЙ";"СЕДАН";"ЗАГАЛЬНИЙ";"БЕНЗИН АБО ГАЗ";1591;1320;1740;"АО2201НР"
"P";"8038600000";"315";"ПЕРЕРЕЄСТРАЦІЯ ТЗ НА НОВ. ВЛАСН. ПО ДОГОВОРУ УКЛАДЕНОМУ В ТСЦ";06.01.2022;12290;"ТСЦ 8041";"SKODA";"FABIA";"TMBEH15J4DB500100";2012;"БІЛИЙ";"ЛЕГКОВИЙ";"ХЕТЧБЕК";"ЗАГАЛЬНИЙ";"БЕНЗИН";1198;1095;1550;"КА1120НА"
"P";"5110137600";"315";"ПЕРЕРЕЄСТРАЦІЯ ТЗ НА НОВ. ВЛАСН. ПО ДОГОВОРУ УКЛАДЕНОМУ В ТСЦ";18.01.2022;13362;"ТСЦ 5150";"VOLVO";"S40";"YV1MS434BC2577289";2012;"БІЛИЙ";"ЛЕГКОВИЙ";"СЕДАН";"ЗАГАЛЬНИЙ";"БЕНЗИН АБО ГАЗ";1999;1477;1880;"ВН0674РО"
"P";"7322580501";"315";"ПЕРЕРЕЄСТРАЦІЯ ТЗ НА НОВ. ВЛАСН. ПО ДОГОВОРУ УКЛАДЕНОМУ В ТСЦ";06.04.2022;12389;"ТСЦ 7342";"TOYOTA";"LAND CRUISER";"JTEHT05J302026099";2002;"СІРИЙ";"ЛЕГКОВИЙ";"УНІВЕРСАЛ";"ЗАГАЛЬНИЙ";"БЕНЗИН АБО ГАЗ";4700;2380;3260;"СЕ5481ЕС"
"P";"6824286401";"315";"ПЕРЕРЕЄСТРАЦІЯ ТЗ НА НОВ. ВЛАСН. ПО ДОГОВОРУ УКЛАДЕНОМУ В ТСЦ";27.08.2022;12374;"ТСЦ 6844";"VOLKSWAGEN";"TRANSPORTER";"WV1ZZZ70ZYH065131";1999;"БІЛИЙ";"ЛЕГКОВИЙ";"ПАСАЖИРСЬКИЙ";"ЗАГАЛЬНИЙ";"ДИЗЕЛЬНЕ ПАЛИВО";2461;1625;3025;"ВХ5963НІ"
"P";"6125089202";"315";"ПЕРЕРЕЄСТРАЦІЯ ТЗ НА НОВ. ВЛАСН. ПО ДОГОВОРУ УКЛАДЕНОМУ В ТСЦ";10.08.2022;12353;"ТСЦ 6145";"VOLKSWAGEN";"CADDY";"WV1ZZZ2KZ5X037611";2004;"СІРИЙ";"ЛЕГКОВИЙ";"ПАСАЖИРСЬКИЙ";"ЗАГАЛЬНИЙ";"ДИЗЕЛЬНЕ ПАЛИВО";1896;1550;2235;"ВО5346ЕН"
"P";"7323082801";"254";"НАЛЕЖНИЙ КОРИСТУВАЧ. РЕЄСТРАЦІЯ";18.02.2022;10000;"OLD_ДДАІ МВС УКРАЇНИ";"BMW";"X5";"5UXZW0C50BL661556";2011;"ЧОРНИЙ";"ЛЕГКОВИЙ";"УНІВЕРСАЛ";"ЗАГАЛЬНИЙ";"ДИЗЕЛЬНЕ ПАЛИВО";2996;2070;2840;"КА6626АМ"
"P";"8036100000";"308";"ПЕРЕРЕЄСТРАЦІЯ НА НОВОГО ВЛАСНИКА ЗА ДОГ. КУПIВЛI-ПРОДАЖУ (СГ)";09.12.2022;12295;"ТСЦ 8046";"BENTLEY";"CONTINENTAL";"SCBCE63W95C028292";2005;"ЧОРНИЙ";"ЛЕГКОВИЙ";"КУПЕ";"ЗАГАЛЬНИЙ";"БЕНЗИН";5998;2385;2800;"АА0003АО"
"P";"8038900000";"315";"ПЕРЕРЕЄСТРАЦІЯ ТЗ НА НОВ. ВЛАСН. ПО ДОГОВОРУ УКЛАДЕНОМУ В ТСЦ";29.08.2022;12296;"ТСЦ 8047";"LEXUS";"RX 400H";"JTJHW31U282853100";2008;"ЧОРНИЙ";"ЛЕГКОВИЙ";"УНІВЕРСАЛ";"ЗАГАЛЬНИЙ";"ЕЛЕКТРО АБО БЕНЗИН";3311;1980;2800;"КА2509НО"
"P";"3210700000";"315";"ПЕРЕРЕЄСТРАЦІЯ ТЗ НА НОВ. ВЛАСН. ПО ДОГОВОРУ УКЛАДЕНОМУ В ТСЦ";04.10.2022;12296;"ТСЦ 8047";"KIA";"OPTIMA";"KNAGN411BC5221349";2011;"СІРИЙ";"ЛЕГКОВИЙ";"СЕДАН";"ЗАГАЛЬНИЙ";"БЕНЗИН АБО ГАЗ";1998;1529;2000;"КА4374ІС"
"P";"0525384201";"308";"ПЕРЕРЕЄСТРАЦІЯ НА НОВОГО ВЛАСНИКА ЗА ДОГ. КУПIВЛI-ПРОДАЖУ (СГ)";01.11.2022;12284;"ТСЦ 3245";"KIA";"OPTIMA";"KNAGN411BC5221349";2011;"СІРИЙ";"ЛЕГКОВИЙ";"СЕДАН";"ЗАГАЛЬНИЙ";"БЕНЗИН АБО ГАЗ";1998;1529;2000;"АІ2755ОТ"
"P";"6810400000";"560";"ЗНЯТТЯ З ОБЛІКУ ПРИ ПОВЕРНЕННІ ІЗ ПОЇЗДКИ ЗА КОРДОН ПО ДОРУЧ.";19.10.2022;12373;"ТСЦ 6843";"HYUNDAI";"SANTA FE";"KMHSH81XCCU893968";2012;"СІРИЙ";"ЛЕГКОВИЙ";"УНІВЕРСАЛ";"ЗАГАЛЬНИЙ";"ДИЗЕЛЬНЕ ПАЛИВО";2199;1725;2505;"ВХ9229ВН"
"P";"6822110100";"404";"ПЕРЕРЕЄСТРАЦІЯ ТЗ, В ЗВ’ЯЗКУ ІЗ НАНЕСЕННЯ СПЕЦІАЛЬНИХ ІНДИВІДУАЛЬНИХ НОМЕРІВ АБО ДУБЛЮВАННЯ №КУЗОВА";08.01.2022;12375;"ТСЦ 6845";"CITROEN";"JUMPER";"VF7ZBPMNC17545941";2004;"ЧОРНИЙ";"ВАНТАЖНИЙ";"ФУРГОН";"СПЕЦІАЛІЗОВАНИЙ";"ДИЗЕЛЬНЕ ПАЛИВО";2800;1950;3300;"ВХ9902ВН"
"P";"0510100000";"315";"ПЕРЕРЕЄСТРАЦІЯ ТЗ НА НОВ. ВЛАСН. ПО ДОГОВОРУ УКЛАДЕНОМУ В ТСЦ";11.07.2022;12229;"ТСЦ 0541";"RENAULT";"DUSTER";"VF1HSRC8546826856";2012;"БІЛИЙ";"ЛЕГКОВИЙ";"УНІВЕРСАЛ";"ЗАГАЛЬНИЙ";"БЕНЗИН";1598;1235;1710;"АВ9007ІС"
"P";"6822487405";"254";"НАЛЕЖНИЙ КОРИСТУВАЧ. РЕЄСТРАЦІЯ";02.09.2022;10000;"OLD_ДДАІ МВС УКРАЇНИ";"SABUR";"SB50Q";"L2BB02A11BB910043";2011;"ЧОРНИЙ";"МОТОЦИКЛ";"МОТОЦИКЛ";"ЗАГАЛЬНИЙ";"БЕНЗИН";72;70;240;"ВХ2158АА"
"J";"6810600000";"540";"ЗНЯТТЯ З ОБЛІКУ У ЗВ`ЯЗКУ З ВИБРАКОВКОЮ";30.12.2022;12375;"ТСЦ 6845";"САЗ";"3507";"1218109";1989;"СИНІЙ";"ВАНТАЖНИЙ";"САМОСКИД";"СПЕЦІАЛЬНИЙ";"БЕНЗИН АБО ГАЗ";4250;2962;5300;""
"P";"1210100000";"315";"ПЕРЕРЕЄСТРАЦІЯ ТЗ НА НОВ. ВЛАСН. ПО ДОГОВОРУ УКЛАДЕНОМУ В ТСЦ";11.08.2022;12241;"ТСЦ 1242";"LEXUS";"GX 470";"JTJBT20X140063569";2004;"КОРИЧНЕВИЙ";"ЛЕГКОВИЙ";"УНІВЕРСАЛ";"ЗАГАЛЬНИЙ";"БЕНЗИН";4700;2050;2790;"АЕ1002ТК"
"P";"3210600000";"254";"НАЛЕЖНИЙ КОРИСТУВАЧ. РЕЄСТРАЦІЯ";11.02.2022;10000;"OLD_ДДАІ МВС УКРАЇНИ";"KIA";"CERATO";"KNAFW612BC5619447";2012;"БІЛИЙ";"ЛЕГКОВИЙ";"КУПЕ";"ЗАГАЛЬНИЙ";"БЕНЗИН";1998;1252;1680;"АІ1614РТ"
