"PERSON";"REG_ADDR_KOATUU";"OPER_CODE";"OPER_NAME";"D_REG";"DEP_CODE";"DEP";"BRAND";"MODEL";"VIN";"MAKE_YEAR";"COLOR";"KIND";"BODY";"PURPOSE";"FUEL";"CAPACITY";"OWN_WEIGHT";"TOTAL_WEIGHT";"N_REG_NEW"
"P";"2623255700";"308";"ПЕРЕРЕЄСТРАЦІЯ НА НОВОГО ВЛАСНИКА ЗА ДОГ. КУПIВЛI-ПРОДАЖУ (СГ)";15.11.2022;12277;"ТСЦ 2642";"RENAULT";"KANGOO";"VF1FC1FAF36294084";2006;"ЖОВТИЙ";"ЛЕГКОВИЙ";"ПАСАЖИРСЬКИЙ";"ЗАГАЛЬНИЙ";"ДИЗЕЛЬНЕ ПАЛИВО";1461;1055;1675;"АТ0315НР"
"P";"5322481701";"315";"ПЕРЕРЕЄСТРАЦІЯ ТЗ НА НОВ. ВЛАСН. ПО ДОГОВОРУ УКЛАДЕНОМУ В ТСЦ";23.02.2022;12331;"ТСЦ 5342";"MERCEDES-BENZ";"VITO 108";"VSA63809413286880";2000;"БІЛИЙ";"ЛЕГКОВИЙ";"ПАСАЖИРСЬКИЙ";"ЗАГАЛЬНИЙ";"ДИЗЕЛЬНЕ ПАЛИВО";2151;1710;2700;"ВІ2124НК"
"J";"4823384401";"315";"ПЕРЕРЕЄСТРАЦІЯ ТЗ НА НОВ. ВЛАСН. ПО ДОГОВОРУ УКЛАДЕНОМУ В ТСЦ";28.01.2022;12315;"ТСЦ 4841";"MEILLER";"MHKS 40-2";"W09SHB233RKM08128";1994;"СІРИЙ";"НАПІВПРИЧІП";"Н/ПР-САМОСКИД";"СПЕЦІАЛІЗОВАНИЙ";"";;9750;32500;"ВЕ6229ХО"
"P";"8038000000";"254";"НАЛЕЖНИЙ КОРИСТУВАЧ. РЕЄСТРАЦІЯ";01.12.2022;10000;"OLD_ДДАІ МВС УКРАЇНИ";"HYUNDAI";"TUCSON";"Y6LJN81BPCL211220";2012;"СІРИЙ";"ЛЕГКОВИЙ";"УНІВЕРСАЛ";"ЗАГАЛЬНИЙ";"БЕНЗИН";1975;1450;1910;"АА5580РВ"
"J";"8038200000";"560";"ЗНЯТТЯ З ОБЛІКУ ПРИ ПОВЕРНЕННІ ІЗ ПОЇЗДКИ ЗА КОРДОН ПО ДОРУЧ.";10.11.2022;12229;"ТСЦ 0541";"MERCEDES-BENZ";"GLK 250";"WDC2049821F727709";2011;"СІРИЙ";"ЛЕГКОВИЙ";"УНІВЕРСАЛ";"ЗАГАЛЬНИЙ";"ДИЗЕЛЬНЕ ПАЛИВО";2143;1880;2450;"АА0998ТР"
"J";"4810137200";"250";"ВИДАЧА ТИМЧАСОВОГО РЕЄСТР ТАЛОНУ ПО ДОРУЧЕННЮ ЧИ ІНШОГО ДОКУМ.ПРАВОКОРИСТУВАННЯ ";22.02.2022;12315;"ТСЦ 4841";"РУТА";"25";"Y7X254216C0000120";2012;"БІЛИЙ";"АВТОБУС";"АВТОБУС";"ЗАГАЛЬНИЙ";"БЕНЗИН АБО ГАЗ";2890;2145;3920;"ВЕ7260ЕР"
"P";"3210700000";"254";"НАЛЕЖНИЙ КОРИСТУВАЧ. РЕЄСТРАЦІЯ";11.02.2022;10000;"OLD_ДДАІ МВС УКРАЇНИ";"FORD";"C-MAX TREND";"WF0JXXWPBJCA62121";2012;"ЧОРНИЙ";"ЛЕГКОВИЙ";"УНІВЕРСАЛ";"ЗАГАЛЬНИЙ";"БЕНЗИН АБО ГАЗ";1596;1726;1860;"АІ4320СО"
"P";"2624010100";"315";"ПЕРЕРЕЄСТРАЦІЯ ТЗ НА НОВ. ВЛАСН. ПО ДОГОВОРУ УКЛАДЕНОМУ В ТСЦ";21.09.2022;12304;"ТСЦ 4443";"KIA";"RIO";"Z94CB41AACR067372";2012;"БІЛИЙ";"ЛЕГКОВИЙ";"СЕДАН";"ЗАГАЛЬНИЙ";"БЕНЗИН АБО ГАЗ";1396;1165;1650;"АТ4453НО"
"P";"5310137000";"322";"ПЕРЕРЕЄСТРАЦIЯ ТЗ НА НОВ. ВЛАС. ПО УСПАДКУВАННЮ ЗА ЗАКОНОМ ЧИ ЗНЯТТЯМ З ОБЛІКУ В ОРГАНАХ СОЦЗАХИСТУ";20.07.2022;12330;"ТСЦ 5341";"ЗАЗ";"110307-42";"Y6D11030780127410";2008;"ЧЕРВОНИЙ";"ЛЕГКОВИЙ";"ХЕТЧБЕК";"ЗАГАЛЬНИЙ";"БЕНЗИН АБО ГАЗ";1198;902;1250;"ВІ2720АМ"
"P";"1412900000";"308";"ПЕРЕРЕЄСТРАЦІЯ НА НОВОГО ВЛАСНИКА ЗА ДОГ. КУПIВЛI-ПРОДАЖУ (СГ)";13.09.2022;12245;"ТСЦ 1246";"FIAT";"LINEA";"ZFA32300003188191";2012;"БЕЖЕВИЙ";"ЛЕГКОВИЙ";"СЕДАН";"ЗАГАЛЬНИЙ";"БЕНЗИН АБО ГАЗ";1368;1160;1800;"АЕ7467ТК"
"P";"4810100000";"308";"ПЕРЕРЕЄСТРАЦІЯ НА НОВОГО ВЛАСНИКА ЗА ДОГ. КУПIВЛI-ПРОДАЖУ (СГ)";22.02.2022;12315;"ТСЦ 4841";"MERCEDES-BENZ";"SPRINTER 316 CDI";"WDB9066351S462522";2010;"БІЛИЙ";"ЛЕГКОВИЙ";"ВАНТАЖОПАСАЖИРСЬКИЙ";"ЗАГАЛЬНИЙ";"ДИЗЕЛЬНЕ ПАЛИВО";2143;2556;3500;"ВЕ3950ЕТ"
